id,tc_name,sc_name
1,Gil,金币
2,火之碎晶,火之碎晶
3,冰之碎晶,冰之碎晶
4,風之碎晶,风之碎晶
5,土之碎晶,土之碎晶
6,雷之碎晶,雷之碎晶
7,水之碎晶,水之碎晶
8,火之水晶,火之水晶
9,冰之水晶,冰之水晶
10,風之水晶,风之水晶
11,土之水晶,土之水晶
12,雷之水晶,雷之水晶
13,水之水晶,水之水晶
14,火之晶簇,火之晶簇
15,冰之晶簇,冰之晶簇
16,風之晶簇,风之晶簇
17,土之晶簇,土之晶簇
18,雷之晶簇,雷之晶簇
19,水之晶簇,水之晶簇
20,黑渦團軍票,黑涡团军票
21,雙蛇黨軍票,双蛇党军票
22,不滅隊軍票,恒辉队军票
23,亞拉戈哲學神典石,亚拉戈哲学神典石
24,亞拉戈神話神典石,亚拉戈神话神典石
25,狼印戰績,狼印战绩
26,亞拉戈戰記神典石,亚拉戈战记神典石
27,同盟徽章,同盟徽章
28,亞拉戈詩學神典石,亚拉戈诗学神典石
29,金碟幣,金碟币
30,亞拉戈法典神典石,亚拉戈法典神典石
31,亞拉戈禁書神典石,亚拉戈禁书神典石
32,亞拉戈傳承神典石,亚拉戈传承神典石
33,亞拉戈聖典神典石,亚拉戈圣典神典石
34,亞拉戈真理神典石,亚拉戈真理神典石
35,亞拉戈萬物神典石,亚拉戈万物神典石
36,亞拉戈虛構神典石,亚拉戈虚构神典石
37,亞拉戈創世神典石,亚拉戈创世神典石
38,亞拉戈魔典神典石,亚拉戈魔典神典石
39,亞拉戈幻想神典石,亚拉戈幻想神典石
40,亞拉戈奇譚神典石,亚拉戈奇谭神典石
41,亞拉戈默示神典石,亚拉戈默示神典石
42,亞拉戈經典神典石,亚拉戈经典神典石
43,亞拉戈天文神典石,亚拉戈天文神典石
44,亞拉戈因果神典石,亚拉戈因果神典石
45,亞拉戈神曲神典石,亚拉戈神曲神典石
46,亞拉戈美學神典石,亚拉戈美学神典石
47,亞拉戈天道神典石,亚拉戈天道神典石
48,亞拉戈數理神典石,亚拉戈数理神典石
49,亞拉戈記憶神典石,亚拉戈记忆神典石
50, , 
51, , 
52, , 
53, , 
54, , 
55, , 
56, , 
57, , 
58, , 
59, , 
60, , 
61, , 
62, , 
63, , 
64, , 
65, , 
66, , 
67, , 
68, , 
69, , 
70, , 
71, , 
72, , 
73, , 
74, , 
75, , 
76, , 
77, , 
78, , 
79, , 
80, , 
81, , 
82, , 
83, , 
84, , 
85, , 
86, , 
87, , 
88, , 
89, , 
90, , 
91, , 
92, , 
93, , 
94, , 
95, , 
96, , 
97, , 
98, , 
99, , 
100,過期青銅步兵劍,过期青铜步兵剑
101,過期青銅小刀,过期青铜小刀
102,過期青銅騎兵劍,过期青铜骑兵剑
103,過期失明小刀,过期失明小刀
104,過期寂靜小刀,过期静寂小刀
105,過期黃銅步兵劍,过期黄铜步兵剑
106,過期黃銅小刀,过期黄铜小刀
107,過期麻痺小刀,过期麻痹小刀
108,過期昏睡小刀,过期昏睡小刀
109,過期梣木石刃棒,过期梣木石刃棒
110,過期黑鐵步兵劍,过期黑铁步兵剑
111,過期黑鐵小刀,过期黑铁小刀
112,過期黑鐵騎兵劍,过期黑铁骑兵剑
113,過期狂熱小刀,过期狂热小刀
114,過期出血小刀,过期出血小刀
115,過期榆木石刃棒,过期榆木石刃棒
116,過期蜂蠟騎兵劍,过期蜂蜡骑兵剑
117,過期黑鐵彎刃刀,过期黑铁弯刃刀
118,過期黑鐵短劍,过期黑铁短剑
119,過期胡桃石刃棒,过期胡桃石刃棒
120,過期黑鐵長劍,过期黑铁长剑
121,過期鋸齒彎刃刀,过期锯齿弯刃刀
122,過期白羽橡木石刃棒,过期白羽橡木石刃棒
123,過期橡木石刃棒,过期橡木石刃棒
124,過期獸骨骨拳,过期兽骨骨拳
125,過期水牛護拳,过期水牛护拳
126,過期金屬指虎,过期青铜指虎
127,過期渡渡鳥鋼拳,过期渡渡鸟钢拳
128,過期黃銅指虎,过期黄铜指虎
129,過期龜甲骨拳,过期龟甲骨拳
130,過期蟾蜍鋼拳,过期蟾蜍钢拳
131,過期鐵甲指虎,过期铁甲指虎
132,過期野豬護拳,过期野猪护拳
133,過期黑鐵虎爪,过期黑铁虎爪
134,過期蟹甲骨拳,过期蟹甲骨拳
135,過期窒息虎爪,过期窒息虎爪
136,過期停心虎爪,过期停心虎爪
137,過期毒蜥蜴革鋼拳,过期毒蜥蜴革钢拳
138,過期翡翠護拳,过期翡翠护拳
139,過期青銅戰斧,过期青铜战斧
140,過期青銅雙刃斧,过期青铜双刃斧
141,過期青銅刺柄雙刃斧,过期青铜刺柄双刃斧
142,過期風暴戰斧,过期风暴战斧
143,過期黑鐵戰斧,过期黑铁战斧
144,過期黑鐵雙刃斧,过期黑铁双刃斧
145,過期黑鐵刺柄雙刃斧,过期黑铁刺柄双刃斧
146,過期業火戰斧,过期业火战斧
147,過期黑鐵長刃斧,过期黑铁长刃斧
148,過期青銅巨斧,过期青铜巨斧
149,過期黑鐵鉤斧,过期黑铁钩斧
150,過期雷暴戰斧,过期雷暴战斧
151,過期雕紋長刃斧,过期雕纹长刃斧
152,過期青銅長槍,过期青铜长枪
153,過期獸骨漁槍,过期兽骨渔枪
154,過期犬牙漁槍,过期犬牙渔枪
155,過期黃銅長槍,过期黄铜长枪
156,過期黑鐵長槍,过期黑铁长枪
157,過期黑鐵騎槍,过期黑铁骑枪
158,過期龜甲漁槍,过期龟甲渔枪
159,過期黑鐵戰戈,过期黑铁战戈
160,過期黑鐵戰叉,过期黑铁战叉
161,過期黑鐵重騎槍,过期黑铁重骑枪
162,過期蟹甲漁槍,过期蟹甲渔枪
163,過期貴族戰戈,过期贵族战戈
164,過期方旗騎槍,过期方旗骑枪
165,過期黑鐵戰戟,过期黑铁战戟
166,過期柳木短弓,过期柳木短弓
167,過期楓木長弓,过期枫木长弓
168,過期榆木短弓,过期榆木短弓
169,過期雪松騎兵弓,过期雪松骑兵弓
170,過期革裝楓木長弓,过期革装枫木长弓
171,過期白羽柳木短弓,过期白羽柳木短弓
172,過期柳木複合弓,过期柳木复合弓
173,過期黑鐵騎兵弓,过期黑铁骑兵弓
174,過期梣木長弓,过期梣木长弓
175,過期高速榆木短弓,过期高速榆木短弓
176,過期甲蟲複合弓,过期甲虫复合弓
177,過期裝甲騎兵弓,过期装甲骑兵弓
178,過期革裝梣木長弓,过期革装梣木长弓
179,過期橡木複合弓,过期橡木复合弓
180,過期紫杉長弓,过期紫杉长弓
181,過期蟹甲複合弓,过期蟹甲复合弓
182,過期楓木幻杖,过期枫木幻杖
183,過期綠葉楓木幻杖,过期绿叶枫木幻杖
184,過期火華楓木幻杖,过期火华枫木幻杖
185,過期風華楓木幻杖,过期风华枫木幻杖
186,過期雷華楓木幻杖,过期雷华枫木幻杖
187,過期土華楓木幻杖,过期土华枫木幻杖
188,過期水華楓木幻杖,过期水华枫木幻杖
189,過期冰華楓木幻杖,过期冰华枫木幻杖
190,過期柳木幻杖,过期柳木幻杖
191,過期綠葉柳木幻杖,过期绿叶柳木幻杖
192,過期火華柳木幻杖,过期火华柳木幻杖
193,過期風華柳木幻杖,过期风华柳木幻杖
194,過期雷華柳木幻杖,过期雷华柳木幻杖
195,過期土華柳木幻杖,过期土华柳木幻杖
196,過期水華柳木幻杖,过期水华柳木幻杖
197,過期冰華柳木幻杖,过期冰华柳木幻杖
198,過期胡桃幻杖,过期胡桃幻杖
199,過期綠葉胡桃幻杖,过期绿叶胡桃幻杖
200,過期火華胡桃幻杖,过期火华胡桃幻杖
201,過期風華胡桃幻杖,过期风华胡桃幻杖
202,過期雷華胡桃幻杖,过期雷华胡桃幻杖
203,過期土華胡桃幻杖,过期土华胡桃幻杖
204,過期水華胡桃幻杖,过期水华胡桃幻杖
205,過期冰華胡桃幻杖,过期冰华胡桃幻杖
206,過期梣木牧杖,过期梣木牧杖
207,過期榆木牧杖,过期榆木牧杖
208,過期松木手杖,过期松木手杖
209,過期銅鈴榆木牧杖,过期铜铃榆木牧杖
210,過期白羽手杖,过期白羽手杖
211,過期紅木根杖,过期红木根杖
212,過期橡木牧杖,过期橡木牧杖
213,過期明燈根杖,过期明灯根杖
214,過期紫杉手杖,过期紫杉手杖
215,過期妖花根杖,过期妖花根杖
216,過期銅鈴橡木牧杖,过期铜铃橡木牧杖
217,過期黑羽手杖,过期黑羽手杖
218,過期翡翠手杖,过期翡翠手杖
219,過期紅銅咒杖,过期红铜咒杖
220,過期黃銅咒杖,过期黄铜咒杖
221,過期黃銅咒錘,过期黄铜咒锤
222,過期白銀咒杖,过期白银咒杖
223,過期條紋咒角,过期条纹咒角
224,過期熏銀咒杖,过期熏银咒杖
225,過期黑鐵咒錘,过期黑铁咒锤
226,過期綠金咒杖,过期绿金咒杖
227,過期風華咒角,过期风华咒角
228,過期土華咒角,过期土华咒角
229,過期雷華咒角,过期雷华咒角
230,過期寒冰烙印,过期冰华咒角
231,過期火華咒角,过期火华咒角
232,過期水華咒角,过期水华咒角
233,過期獸骨長杖,过期兽骨长杖
234,過期蟹甲獸骨長杖,过期蟹甲兽骨长杖
235,過期獸角長杖,过期兽角长杖
236,過期蟹甲獸角長杖,过期蟹甲兽角长杖
237,過期楓木方盾,过期枫木方盾
238,過期青銅重盾,过期青铜重盾
239,過期栗木圓盾,过期栗木圆盾
240,過期青銅小圓盾,过期青铜小圆盾
241,過期梣木方盾,过期梣木方盾
242,過期綿羊皮盾,过期绵羊皮盾
243,過期青銅輕盾,过期青铜轻盾
244,過期漩渦圓盾,过期漩涡圆盾
